"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AND VEGETABLES AREA (1000 ha)"
"1","2006","14","Chhattisgarh","Durg","781.7","1177.1","1505.81","36.81","26.62","723.16","5.28","5.03","953.14","170.6","123.47","723.74","234.58","127.67","544.25","88.02","49.86","566.49","0.19","0.05","263.16","31.47"
"1","2007","14","Chhattisgarh","Durg","799.89","1095.84","1369.98","37.32","34.38","921.03","3.3","3.82","1157.23","143.2","130.29","909.8","225.92","404.31","1789.63","96.56","82.96","859.2","0.04","0.01","250.0","32.68"
"1","2008","14","Chhattisgarh","Durg","803.37","704.09","876.42","36.46","31.19","855.47","3.4","3.35","984.92","131.94","113.04","856.71","188.25","149.66","795.01","94.77","73.18","772.2","0.01","0.01","1000.0","33.85"
"1","2009","14","Chhattisgarh","Durg","789.04","622.05","788.37","42.44","38.12","898.09","3.25","3.4","1045.97","147.22","130.06","883.44","155.28","67.34","433.68","94.84","72.74","767.05","0.01","0.0","0.0","32.94"
"1","2010","14","Chhattisgarh","Durg","777.92","1319.18","1695.77","46.12","45.87","994.69","3.17","4.63","1457.32","184.26","174.84","948.89","180.24","91.25","506.28","114.35","112.83","986.66","0.0","0.0","0.0","34.3"
"1","2011","14","Chhattisgarh","Durg","806.55","1416.48","1756.23","44.98","50.19","1115.68","3.63","4.67","1285.56","196.27","197.94","1008.49","72.71","32.84","451.66","106.25","78.18","735.8","0.08","0.02","250.0","0.0"
"1","2012","14","Chhattisgarh","Durg","807.07","1534.22","1900.97","43.87","47.69","1087.1","3.12","4.8","1538.56","208.6","235.92","1130.97","160.54","60.53","377.05","104.27","109.66","1051.69","0.13","0.02","153.85","35.69"
"1","2013","14","Chhattisgarh","Durg","819.44","1296.24","1581.86","41.54","43.33","1043.06","3.64","6.34","1742.2","229.99","173.91","756.19","142.9","56.73","397.0","108.22","99.31","917.64","0.05","0.01","200.0","34.74"
"1","2014","14","Chhattisgarh","Durg","834.87","1444.24","1729.89","44.25","50.96","1151.49","4.02","5.84","1451.66","228.75","241.58","1056.09","144.21","97.92","679.02","99.93","46.2","462.3","0.05","0.02","400.0","0.0"
"1","2015","14","Chhattisgarh","Durg","817.68","880.6","1076.95","48.72","54.6","1120.74","9.87","14.47","1467.17","220.27","166.24","754.73","121.23","47.02","387.89","113.88","37.19","326.61","0.05","0.01","200.0","0.0"
"2","2006","14","Chhattisgarh","Bastar","546.54","836.54","1530.61","1.92","3.2","1666.67","31.15","41.19","1322.31","1.47","1.07","727.89","47.91","18.73","390.94","28.87","7.0","242.47","0.0","0.0","0.0","13.87"
"2","2007","14","Chhattisgarh","Bastar","626.07","927.73","1481.83","1.68","3.31","1970.24","32.66","59.39","1818.43","1.53","1.42","928.1","34.04","13.74","403.64","11.56","4.9","423.88","0.0","0.0","0.0","14.43"
"2","2008","14","Chhattisgarh","Bastar","627.78","729.33","1161.76","1.71","2.6","1520.47","33.41","53.87","1612.39","1.46","1.08","739.73","31.66","9.68","305.75","10.82","3.73","344.73","0.0","0.0","0.0","14.74"
"2","2009","14","Chhattisgarh","Bastar","626.66","682.46","1089.04","1.64","2.95","1798.78","34.77","61.36","1764.74","1.51","1.63","1079.47","29.43","9.9","336.39","10.51","4.76","452.9","0.0","0.0","0.0","15.21"
"2","2010","14","Chhattisgarh","Bastar","621.89","1184.98","1905.45","1.6","3.2","2000.0","35.7","72.3","2025.21","1.5","1.7","1133.33","45.3","17.7","390.73","24.23","7.35","303.34","0.0","0.0","0.0","17.02"
"2","2011","14","Chhattisgarh","Bastar","627.73","772.88","1231.23","1.33","2.49","1872.18","40.16","82.85","2063.0","1.57","1.47","936.31","46.66","15.56","333.48","22.57","7.5","332.3","0.0","0.0","0.0","0.0"
"2","2012","14","Chhattisgarh","Bastar","637.8","1341.33","2103.06","1.25","2.47","1976.0","41.04","84.27","2053.36","1.57","2.05","1305.73","45.53","17.03","374.04","21.95","7.1","323.46","0.0","0.0","0.0","17.7"
"2","2013","14","Chhattisgarh","Bastar","642.79","1265.91","1969.4","0.97","1.75","1804.12","42.38","99.48","2347.33","1.71","1.39","812.87","43.38","15.53","358.0","20.29","6.67","328.73","0.0","0.0","0.0","18.56"
"2","2014","14","Chhattisgarh","Bastar","646.7","1377.04","2129.33","0.81","1.86","2296.3","43.1","86.93","2016.94","1.65","2.11","1278.79","44.79","16.19","361.46","21.21","7.06","332.86","0.0","0.0","0.0","0.0"
"2","2015","14","Chhattisgarh","Bastar","644.56","664.46","1030.87","0.84","1.75","2083.33","41.36","88.98","2151.35","1.51","1.33","880.79","42.83","13.21","308.41","19.05","5.54","290.81","0.0","0.0","0.0","0.0"
"3","2006","14","Chhattisgarh","Raipur","918.39","1324.71","1442.43","13.09","12.16","928.95","2.61","2.35","900.38","23.19","18.08","779.65","135.87","62.58","460.59","32.53","15.79","485.4","0.05","0.02","400.0","18.85"
"3","2007","14","Chhattisgarh","Raipur","956.63","1483.28","1550.53","11.42","13.08","1145.36","2.53","2.89","1142.29","44.26","37.3","842.75","151.23","94.59","625.47","21.65","14.08","650.35","0.01","0.0","0.0","18.45"
"3","2008","14","Chhattisgarh","Raipur","942.24","1252.38","1329.15","10.82","11.04","1020.33","1.29","1.39","1077.52","50.16","35.33","704.35","152.38","54.45","357.33","23.56","14.04","595.93","0.0","0.0","0.0","18.43"
"3","2009","14","Chhattisgarh","Raipur","928.66","1307.24","1407.66","12.67","18.01","1421.47","1.34","2.13","1589.55","55.79","46.26","829.18","138.55","68.5","494.41","26.12","17.6","673.81","0.01","0.0","0.0","18.31"
"3","2010","14","Chhattisgarh","Raipur","915.4","1521.13","1661.71","11.3","15.2","1345.13","1.3","1.8","1384.62","14.6","15.1","1034.25","124.9","62.08","497.04","19.4","14.85","765.46","0.0","0.0","0.0","18.27"
"3","2011","14","Chhattisgarh","Raipur","958.01","1421.37","1483.67","10.54","17.89","1697.34","2.12","3.6","1698.11","18.81","20.32","1080.28","64.7","31.14","481.3","18.97","13.87","731.15","0.0","0.0","0.0","0.0"
"3","2012","14","Chhattisgarh","Raipur","993.68","1974.69","1987.25","9.76","17.75","1818.65","10.21","17.05","1669.93","13.95","18.46","1323.3","111.18","48.74","438.39","19.22","14.17","737.25","0.0","0.0","0.0","18.28"
"3","2013","14","Chhattisgarh","Raipur","1009.22","1749.21","1733.23","9.21","15.86","1722.04","13.01","22.77","1750.19","13.69","13.04","952.52","105.11","50.59","481.31","13.69","12.89","941.56","0.0","0.0","0.0","18.61"
"3","2014","14","Chhattisgarh","Raipur","1034.99","2127.73","2055.8","10.38","21.24","2046.24","14.75","29.67","2011.53","15.71","19.99","1272.44","102.89","83.32","809.8","14.76","12.53","848.92","0.0","0.0","0.0","0.0"
"3","2015","14","Chhattisgarh","Raipur","986.91","1412.83","1431.57","10.99","19.3","1756.14","11.14","20.1","1804.31","14.21","12.88","906.4","97.67","43.11","441.42","13.79","11.36","823.79","0.01","0.0","0.0","0.0"
"4","2006","14","Chhattisgarh","Bilaspur","712.81","1127.18","1581.33","17.57","15.69","893.02","10.12","10.78","1064.98","41.84","26.15","624.99","124.82","76.84","615.61","31.03","14.71","473.97","0.0","0.0","0.0","18.88"
"4","2007","14","Chhattisgarh","Bilaspur","716.37","1160.03","1619.32","17.38","19.05","1096.53","9.71","13.41","1381.2","40.74","31.97","784.89","128.3","86.49","674.13","32.85","22.1","672.62","0.0","0.0","0.0","19.51"
"4","2008","14","Chhattisgarh","Bilaspur","749.56","1070.95","1428.76","17.54","18.05","1029.04","9.7","11.18","1152.73","40.68","29.86","734.15","121.9","40.54","332.57","32.93","22.79","692.02","0.0","0.0","0.0","19.58"
"4","2009","14","Chhattisgarh","Bilaspur","696.49","994.29","1427.57","24.25","28.14","1160.63","11.67","17.12","1467.12","46.21","40.19","869.74","113.26","83.5","737.23","34.7","28.52","821.69","0.0","0.0","0.0","19.49"
"4","2010","14","Chhattisgarh","Bilaspur","705.67","1333.61","1889.83","24.88","30.13","1210.79","11.63","18.67","1606.28","19.0","17.32","911.49","134.42","101.79","757.23","38.95","34.37","882.56","0.0","0.0","0.0","20.37"
"4","2011","14","Chhattisgarh","Bilaspur","749.08","1557.35","2079.01","19.08","26.28","1377.75","9.3","12.72","1368.1","38.22","36.18","946.7","71.9","42.11","585.68","35.34","24.82","702.35","0.0","0.0","0.0","0.0"
"4","2012","14","Chhattisgarh","Bilaspur","747.27","1746.82","2337.61","18.7","27.31","1460.32","8.8","15.8","1795.44","38.36","42.67","1112.34","136.88","73.59","537.61","36.12","33.55","928.85","0.0","0.0","0.0","20.84"
"4","2013","14","Chhattisgarh","Bilaspur","726.15","1577.16","2171.95","19.88","26.97","1356.73","8.94","15.51","1734.72","38.6","28.77","745.2","133.43","85.24","638.83","35.07","28.99","826.73","0.0","0.0","0.0","20.73"
"4","2014","14","Chhattisgarh","Bilaspur","728.84","1683.92","2310.43","18.11","28.15","1554.83","9.03","15.57","1724.75","41.53","41.18","991.55","130.13","135.05","1037.8","34.82","20.23","581.06","0.0","0.0","0.0","0.0"
"4","2015","14","Chhattisgarh","Bilaspur","731.83","1340.65","1831.92","17.82","27.03","1516.74","8.62","12.22","1416.38","39.47","34.83","882.37","127.17","104.47","821.45","32.94","18.29","555.1","0.0","0.0","0.0","0.0"
"5","2006","14","Chhattisgarh","Raigarh","421.04","437.91","1040.07","3.31","3.74","1129.91","7.12","9.0","1264.04","1.87","1.34","716.58","53.56","14.65","273.53","52.68","21.28","403.95","0.0","0.0","0.0","15.9"
"5","2007","14","Chhattisgarh","Raigarh","423.06","532.65","1259.04","3.17","4.65","1466.88","7.08","11.63","1642.66","10.1","8.76","867.33","57.36","28.19","491.46","27.63","21.31","771.26","0.0","0.0","0.0","15.89"
"5","2008","14","Chhattisgarh","Raigarh","423.29","500.83","1183.18","3.51","4.86","1384.62","7.05","10.15","1439.72","9.75","8.43","864.62","55.7","25.79","463.02","26.07","20.48","785.58","0.0","0.0","0.0","15.96"
"5","2009","14","Chhattisgarh","Raigarh","420.75","470.53","1118.31","3.72","4.87","1309.14","6.78","11.23","1656.34","9.64","9.76","1012.45","50.72","27.11","534.5","22.18","19.92","898.11","0.0","0.0","0.0","18.06"
"5","2010","14","Chhattisgarh","Raigarh","435.05","598.26","1375.15","3.4","5.5","1617.65","7.0","11.9","1700.0","1.73","1.72","994.22","48.97","14.51","296.3","46.26","22.17","479.25","0.0","0.0","0.0","16.76"
"5","2011","14","Chhattisgarh","Raigarh","421.32","602.66","1430.41","3.63","6.27","1727.27","6.84","10.67","1559.94","1.64","1.66","1012.2","48.66","13.9","285.66","46.42","23.88","514.43","0.0","0.0","0.0","0.0"
"5","2012","14","Chhattisgarh","Raigarh","422.65","641.28","1517.28","3.44","6.08","1767.44","6.33","11.84","1870.46","1.66","2.03","1222.89","46.47","13.99","301.05","46.53","24.86","534.28","0.0","0.0","0.0","16.67"
"5","2013","14","Chhattisgarh","Raigarh","418.44","580.76","1387.92","6.67","11.5","1724.14","6.55","14.33","2187.79","1.66","1.4","843.37","43.98","13.15","299.0","44.89","27.15","604.81","0.0","0.0","0.0","17.05"
"5","2014","14","Chhattisgarh","Raigarh","408.9","657.79","1608.68","3.62","7.5","2071.82","6.55","12.46","1902.29","1.69","2.13","1260.36","45.0","14.4","320.0","45.71","26.17","572.52","0.0","0.0","0.0","0.0"
"5","2015","14","Chhattisgarh","Raigarh","409.45","414.89","1013.29","3.56","6.15","1727.53","6.5","10.94","1683.08","1.59","1.13","710.69","43.98","14.27","324.43","46.09","22.31","484.05","0.0","0.0","0.0","0.0"
"6","2006","14","Chhattisgarh","Surguja","383.16","403.92","1054.18","24.39","23.79","975.4","45.32","41.23","909.75","3.72","2.14","575.27","39.53","13.21","334.18","81.11","27.13","334.48","0.0","0.0","0.0","18.62"
"6","2007","14","Chhattisgarh","Surguja","380.88","435.45","1143.27","24.07","30.09","1250.1","45.31","66.01","1456.85","3.69","2.66","720.87","35.36","19.1","540.16","49.21","25.12","510.47","0.0","0.0","0.0","18.78"
"6","2008","14","Chhattisgarh","Surguja","382.59","449.93","1176.01","24.81","29.68","1196.29","44.55","59.93","1345.23","3.48","2.6","747.13","34.7","18.75","540.35","48.55","24.25","499.49","0.01","0.01","1000.0","19.64"
"6","2009","14","Chhattisgarh","Surguja","376.0","270.74","720.05","24.47","26.84","1096.85","43.91","50.14","1141.88","3.55","2.27","639.44","35.12","17.27","491.74","48.24","23.54","487.98","0.0","0.0","0.0","20.26"
"6","2010","14","Chhattisgarh","Surguja","371.28","399.46","1075.9","23.98","27.45","1144.7","43.9","76.3","1738.04","3.6","3.1","861.11","37.1","7.1","191.37","78.35","27.85","355.46","0.0","0.0","0.0","21.39"
"6","2011","14","Chhattisgarh","Surguja","377.14","530.08","1405.53","25.29","32.02","1266.11","45.39","63.31","1394.8","3.71","3.18","857.14","17.76","6.52","367.12","77.18","30.42","394.14","0.01","0.0","0.0","0.0"
"6","2012","14","Chhattisgarh","Surguja","373.71","610.07","1632.47","25.21","41.92","1662.83","47.34","91.37","1930.08","3.73","3.73","1000.0","38.04","11.96","314.41","78.27","34.6","442.06","0.01","0.0","0.0","23.19"
"6","2013","14","Chhattisgarh","Surguja","371.71","633.47","1704.2","26.77","41.33","1543.89","49.07","96.07","1957.82","4.11","3.05","742.09","36.44","11.72","321.62","79.15","36.32","458.88","0.0","0.0","0.0","26.24"
"6","2014","14","Chhattisgarh","Surguja","381.43","687.04","1801.22","26.02","43.61","1676.02","47.61","84.57","1776.31","3.94","4.14","1050.76","37.81","12.44","329.01","75.2","35.44","471.28","0.01","0.0","0.0","0.0"
"6","2015","14","Chhattisgarh","Surguja","369.32","440.9","1193.82","23.87","33.51","1403.85","48.89","91.01","1861.53","3.87","2.45","633.07","35.28","13.04","369.51","76.85","35.59","463.11","0.0","0.0","0.0","0.0"
"7","2006","6","Madhya Pradesh","Jabalpur","173.4","103.71","598.1","144.1","226.35","1570.78","8.18","5.84","713.94","85.63","84.08","981.9","110.3","43.01","389.94","26.45","12.14","458.98","0.0","0.0","0.0","27.12"
"7","2007","6","Madhya Pradesh","Jabalpur","153.8","53.52","347.98","130.4","166.2","1274.54","7.8","7.4","948.72","88.1","71.2","808.17","107.7","30.4","282.27","26.7","10.0","374.53","0.0","0.0","0.0","27.07"
"7","2008","6","Madhya Pradesh","Jabalpur","173.3","103.69","598.33","157.7","245.8","1558.66","8.4","10.2","1214.29","94.9","85.4","899.89","131.0","70.3","536.64","27.9","16.0","573.48","0.0","0.0","0.0","24.3"
"7","2009","6","Madhya Pradesh","Jabalpur","135.2","78.8","582.84","162.0","229.4","1416.05","7.7","7.1","922.08","94.3","91.3","968.19","108.1","44.8","414.43","22.8","11.0","482.46","0.0","0.0","0.0","24.64"
"7","2010","6","Madhya Pradesh","Jabalpur","151.1","155.0","1025.81","162.7","339.5","2086.66","7.5","8.8","1173.33","93.4","63.6","680.94","122.0","27.0","221.31","26.0","14.9","573.08","0.0","0.0","0.0","23.28"
"7","2011","6","Madhya Pradesh","Jabalpur","157.6","204.5","1297.59","166.0","381.6","2298.8","8.0","7.9","987.5","92.9","99.4","1069.97","133.8","43.7","326.61","26.5","14.1","532.08","0.0","0.0","0.0","22.87"
"7","2012","6","Madhya Pradesh","Jabalpur","182.13","292.91","1608.25","201.13","559.1","2779.79","8.07","15.13","1874.85","93.82","114.97","1225.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.55"
"7","2013","6","Madhya Pradesh","Jabalpur","188.69","364.36","1931.0","218.66","546.79","2500.64","7.67","13.57","1769.23","101.75","89.99","884.42","113.42","116.84","1030.15","68.64","44.55","649.04","0.0","0.0","0.0","24.15"
"7","2014","6","Madhya Pradesh","Jabalpur","179.0","228.0","1273.74","227.0","598.0","2634.36","19.0","57.0","3000.0","84.0","51.0","607.14","90.1","67.11","744.84","83.4","80.45","964.63","0.0","0.0","0.0","21.46"
"7","2015","6","Madhya Pradesh","Jabalpur","169.0","189.33","1120.3","202.0","623.0","3084.16","10.0","17.0","1700.0","116.0","145.0","1250.0","132.0","136.71","1035.69","41.19","25.14","610.34","0.0","0.0","0.0","22.49"
"8","2006","6","Madhya Pradesh","Balaghat","248.65","299.34","1203.86","15.05","11.43","759.47","4.36","4.51","1034.4","7.13","6.28","880.79","20.99","9.3","443.07","23.36","11.5","492.29","0.0","0.0","0.0","2.94"
"8","2007","6","Madhya Pradesh","Balaghat","249.8","233.77","935.83","14.7","13.2","897.96","4.4","5.7","1295.45","7.1","5.4","760.56","22.0","8.6","390.91","22.4","11.6","517.86","0.0","0.0","0.0","2.96"
"8","2008","6","Madhya Pradesh","Balaghat","249.8","181.57","726.86","15.1","12.3","814.57","5.6","7.5","1339.29","7.0","5.8","828.57","31.9","16.4","514.11","29.6","15.1","510.14","0.0","0.0","0.0","2.8"
"8","2009","6","Madhya Pradesh","Balaghat","247.8","338.2","1364.81","14.7","19.5","1326.53","4.2","5.0","1190.48","7.4","7.7","1040.54","22.1","10.6","479.64","21.4","13.9","649.53","0.0","0.0","0.0","2.66"
"8","2010","6","Madhya Pradesh","Balaghat","247.9","353.0","1423.96","15.1","22.9","1516.56","4.3","6.6","1534.88","6.9","7.2","1043.48","20.5","8.8","429.27","21.0","12.7","604.76","0.0","0.0","0.0","2.61"
"8","2011","6","Madhya Pradesh","Balaghat","246.7","336.2","1362.79","22.7","29.8","1312.78","4.3","5.6","1302.33","10.3","11.1","1077.67","23.4","10.0","427.35","41.3","22.4","542.37","0.0","0.0","0.0","2.54"
"8","2012","6","Madhya Pradesh","Balaghat","260.77","486.46","1865.48","18.32","23.72","1294.76","4.23","9.95","2352.25","7.9","7.49","948.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.68"
"8","2013","6","Madhya Pradesh","Balaghat","258.65","434.08","1678.25","17.52","22.85","1304.22","4.29","7.38","1720.28","7.49","6.33","845.13","27.24","16.95","622.25","27.9","17.77","636.92","0.0","0.0","0.0","2.67"
"8","2014","6","Madhya Pradesh","Balaghat","245.0","449.33","1834.0","38.0","56.0","1473.68","8.0","21.0","2625.0","17.0","8.0","470.59","19.13","15.22","795.61","23.7","17.2","725.74","0.0","0.0","0.0","3.23"
"8","2015","6","Madhya Pradesh","Balaghat","266.0","445.33","1674.17","20.0","27.0","1350.0","9.0","18.0","2000.0","34.0","39.0","1147.06","11.0","11.87","1078.91","19.73","12.54","635.58","0.0","0.0","0.0","3.36"
"9","2006","6","Madhya Pradesh","Chhindwara","20.56","16.67","810.8","105.95","198.97","1877.96","85.13","158.2","1858.33","34.73","40.93","1178.52","25.57","10.32","403.6","185.56","228.96","1233.89","31.1","15.71","505.14","19.55"
"9","2007","6","Madhya Pradesh","Chhindwara","20.5","12.01","585.85","110.7","223.4","2018.07","92.1","216.7","2352.88","34.5","38.9","1127.54","19.3","7.2","373.06","189.4","256.7","1355.33","28.6","15.1","527.97","22.16"
"9","2008","6","Madhya Pradesh","Chhindwara","19.3","9.57","495.85","82.8","175.2","2115.94","92.8","203.5","2192.89","29.5","34.2","1159.32","25.2","13.2","523.81","211.5","241.0","1139.48","28.1","16.0","569.4","20.44"
"9","2009","6","Madhya Pradesh","Chhindwara","18.8","14.2","755.32","111.1","425.2","3827.18","88.9","233.1","2622.05","36.3","58.7","1617.08","20.0","8.6","430.0","197.1","302.9","1536.78","27.5","26.79","974.18","23.0"
"9","2010","6","Madhya Pradesh","Chhindwara","18.3","30.2","1650.27","114.5","388.9","3396.51","94.4","279.1","2956.57","43.3","57.5","1327.94","23.4","9.5","405.98","199.2","326.8","1640.56","28.34","45.23","1595.94","25.99"
"9","2011","6","Madhya Pradesh","Chhindwara","20.2","43.0","2128.71","122.1","278.84","2283.7","98.6","423.9","4299.19","45.9","125.8","2740.74","24.4","8.7","356.56","227.8","393.1","1725.64","27.68","31.93","1153.65","26.86"
"9","2012","6","Madhya Pradesh","Chhindwara","13.94","38.37","2752.51","138.57","438.74","3166.2","134.98","483.9","3584.98","44.05","124.61","2828.83","0.0","0.0","0.0","0.0","0.0","0.0","33.77","6.6","195.44","28.78"
"9","2013","6","Madhya Pradesh","Chhindwara","13.81","28.05","2031.14","146.14","332.52","2275.35","154.25","173.17","1122.66","42.94","105.86","2465.3","48.64","24.04","494.24","201.24","176.98","879.45","34.09","6.88","201.82","32.45"
"9","2014","6","Madhya Pradesh","Chhindwara","20.0","48.0","2400.0","155.0","455.0","2935.48","65.0","220.0","3384.62","50.0","37.0","740.0","29.1","17.42","598.63","131.81","153.48","1164.4","15.0","1.8","120.0","30.4"
"9","2015","6","Madhya Pradesh","Chhindwara","31.0","54.0","1741.94","165.0","636.0","3854.55","195.0","980.0","5025.64","81.0","99.0","1222.22","49.0","31.0","632.65","132.98","128.12","963.45","44.0","1.8","40.91","30.4"
"10","2006","6","Madhya Pradesh","Narsinghpur","13.61","14.58","1071.27","53.07","151.93","2862.82","0.61","0.77","1262.3","136.8","167.45","1224.05","61.13","38.62","631.77","53.98","84.22","1560.21","0.0","0.0","0.0","3.43"
"10","2007","6","Madhya Pradesh","Narsinghpur","12.9","8.38","649.61","55.0","157.5","2863.64","0.6","0.9","1500.0","135.3","138.7","1025.13","60.0","29.4","490.0","64.6","82.7","1280.19","0.0","0.0","0.0","3.64"
"10","2008","6","Madhya Pradesh","Narsinghpur","13.1","8.05","614.5","62.3","189.7","3044.94","0.5","0.9","1800.0","132.6","162.6","1226.24","63.5","21.8","343.31","100.2","157.1","1567.86","0.0","0.0","0.0","3.63"
"10","2009","6","Madhya Pradesh","Narsinghpur","13.4","14.9","1111.94","65.1","169.4","2602.15","0.6","0.8","1333.33","128.9","162.1","1257.56","61.1","36.8","602.29","80.6","149.6","1856.08","0.0","0.0","0.0","3.7"
"10","2010","6","Madhya Pradesh","Narsinghpur","12.5","19.5","1560.0","68.8","226.9","3297.96","0.6","0.9","1500.0","108.1","117.0","1082.33","63.6","25.6","402.52","72.0","139.2","1933.33","0.0","0.0","0.0","4.42"
"10","2011","6","Madhya Pradesh","Narsinghpur","12.0","21.5","1791.67","63.6","253.2","3981.13","0.6","0.9","1500.0","105.0","154.0","1466.67","63.3","26.9","424.96","99.9","156.5","1566.57","0.0","0.0","0.0","4.2"
"10","2012","6","Madhya Pradesh","Narsinghpur","12.91","17.21","1333.08","82.0","240.82","2936.83","0.89","2.5","2808.99","111.54","135.21","1212.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.42"
"10","2013","6","Madhya Pradesh","Narsinghpur","18.36","24.99","1361.11","93.17","198.02","2125.36","1.02","1.49","1460.78","104.29","81.21","778.69","73.51","68.99","938.51","95.28","99.86","1048.07","0.0","0.0","0.0","7.58"
"10","2014","6","Madhya Pradesh","Narsinghpur","18.0","25.33","1407.22","94.0","305.0","3244.68","9.0","17.0","1888.89","44.0","31.0","704.55","51.74","36.26","700.81","86.7","112.39","1296.31","0.0","0.0","0.0","7.63"
"10","2015","6","Madhya Pradesh","Narsinghpur","34.0","89.33","2627.35","95.0","388.0","4084.21","3.0","10.0","3333.33","90.0","113.0","1255.56","93.0","84.0","903.23","70.0","36.54","522.0","0.0","0.0","0.0","7.38"
"11","2006","6","Madhya Pradesh","Seoni / Shivani","119.39","135.81","1137.53","104.72","101.31","967.44","12.5","12.82","1025.6","46.2","29.83","645.67","36.9","16.88","457.45","128.57","123.44","960.1","0.0","0.0","0.0","4.26"
"11","2007","6","Madhya Pradesh","Seoni / Shivani","119.0","97.61","820.25","110.5","93.4","845.25","11.9","14.3","1201.68","47.2","21.9","463.98","38.7","15.4","397.93","136.9","119.7","874.36","0.0","0.0","0.0","4.27"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","115.6","77.42","669.72","103.1","90.1","873.91","11.8","13.5","1144.07","47.5","33.6","707.37","36.8","14.3","388.59","137.5","131.2","954.18","0.0","0.0","0.0","4.0"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","116.8","122.4","1047.95","108.8","90.5","831.8","11.6","12.7","1094.83","48.1","34.1","708.94","40.7","17.8","437.35","138.3","135.4","979.03","0.0","0.0","0.0","4.39"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","116.3","153.9","1323.3","111.7","102.1","914.06","11.9","15.1","1268.91","51.3","35.4","690.06","55.8","18.7","335.13","142.8","148.3","1038.52","0.0","0.0","0.0","4.57"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","121.2","176.4","1455.45","115.6","127.5","1102.94","14.1","15.1","1070.92","44.5","32.1","721.35","51.2","16.6","324.22","141.7","126.7","894.14","0.0","0.0","0.0","4.82"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","136.55","281.01","2057.93","132.11","374.26","2832.94","18.39","46.98","2554.65","46.4","39.52","851.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.31"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","150.24","440.99","2935.24","153.28","346.04","2257.57","22.05","40.52","1837.64","44.0","43.12","980.0","55.56","48.12","866.09","114.77","86.21","751.15","0.0","0.0","0.0","6.81"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","139.0","199.33","1434.03","99.0","286.0","2888.89","20.0","72.0","3600.0","42.0","21.0","500.0","49.18","32.03","651.28","101.72","117.4","1154.15","0.0","0.0","0.0","7.14"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","169.0","238.67","1412.25","115.0","277.0","2408.7","72.0","25.0","347.22","48.0","40.0","833.33","54.0","35.14","650.74","47.2","23.07","488.77","1.0","0.0","0.0","7.06"
"12","2006","6","Madhya Pradesh","Mandla","192.71","129.68","672.93","63.47","44.02","693.56","36.36","27.43","754.4","11.69","6.95","594.53","66.73","18.72","280.53","84.81","35.97","424.12","0.0","0.0","0.0","1.84"
"12","2007","6","Madhya Pradesh","Mandla","193.3","93.26","482.46","58.8","40.2","683.67","36.2","36.8","1016.57","13.0","6.1","469.23","80.8","20.5","253.71","85.0","37.0","435.29","0.0","0.0","0.0","1.93"
"12","2008","6","Madhya Pradesh","Mandla","194.1","90.35","465.48","60.0","46.0","766.67","43.5","44.4","1020.69","12.4","7.0","564.52","77.0","21.8","283.12","111.0","50.1","451.35","0.0","0.0","0.0","1.93"
"12","2009","6","Madhya Pradesh","Mandla","180.1","106.2","589.67","61.5","42.1","684.55","36.1","34.4","952.91","12.9","7.2","558.14","76.1","20.4","268.07","85.2","36.1","423.71","0.0","0.0","0.0","1.9"
"12","2010","6","Madhya Pradesh","Mandla","191.1","157.5","824.18","45.2","32.7","723.45","35.8","44.2","1234.64","25.8","10.2","395.35","127.7","19.0","148.79","83.5","35.1","420.36","0.0","0.0","0.0","1.98"
"12","2011","6","Madhya Pradesh","Mandla","198.7","201.8","1015.6","68.0","51.3","754.41","42.1","32.1","762.47","24.6","14.0","569.11","119.1","21.4","179.68","110.9","46.4","418.39","0.0","0.0","0.0","3.45"
